width,seed,scenario,accuracy,f1_macro,mae,pearson,actual_new_missing_fraction
256,2222,audio_middle_10pct,0.6153846153846154,0.5939565634887418,0.6522166379573908,0.5965967369961596,0.10161891451199627
256,2222,audio_middle_50pct,0.6126373626373627,0.5895921939179868,0.6506731344980525,0.6000671905051231,0.4981365012811554
256,2222,vision_start_30pct,0.6153846153846154,0.5950830823841331,0.6502390998610101,0.5996601494458557,0.28400885161891454
256,2222,vision_middle_30pct,0.6195054945054945,0.6014221503000836,0.6517098475820743,0.5972405247679048,0.2833682739343117
256,2222,vision_end_30pct,0.6153846153846154,0.5974492181834816,0.6484195613148775,0.5998087158380474,0.28028185418122525
256,2222,vision_middle_10pct,0.6208791208791209,0.5999645787553113,0.65037535214899,0.5974984053344397,0.09637782436524575
256,2222,vision_middle_50pct,0.6126373626373627,0.5939590201822619,0.6560285591858102,0.5956160823145408,0.47198928488236663
256,2222,audio_vision_start_30pct,0.6071428571428571,0.5892674342251686,0.6447777900599189,0.5997026027030624,0.2914046121593291
256,2222,audio_vision_middle_30pct,0.6071428571428571,0.5872691396546569,0.656000631871623,0.5945939865187576,0.2910843233170277
256,2222,audio_vision_end_30pct,0.6153846153846154,0.5967271544640753,0.6505817804731183,0.595249292472527,0.2895993477754484
256,2222,audio_vision_middle_10pct,0.6208791208791209,0.6019774488817448,0.6528876575508288,0.5958183348060125,0.09899836943862102
256,2222,audio_vision_middle_50pct,0.6126373626373627,0.5910095683300541,0.6572149243042037,0.5959798234342587,0.485062893081761
256,3333,clean,0.5714285714285714,0.5629299673255518,0.6344599495590716,0.5817575910667513,0
256,3333,text_start_30pct,0.5741758241758241,0.5646662547111397,0.6408308300875373,0.5707646222628064,0.2996156533892383
256,3333,text_middle_30pct,0.5590659340659341,0.552072055288739,0.6391276968745413,0.572535682137731,0.2996156533892383
256,3333,text_end_30pct,0.5618131868131868,0.5503017949295195,0.6402936069560903,0.559857762667311,0.2996156533892383
256,3333,text_middle_10pct,0.5810439560439561,0.5722586892521954,0.63521065958008,0.5801784631067789,0.10191008618681574
256,3333,text_middle_50pct,0.5480769230769231,0.5422522595257274,0.6458573980195509,0.5612872514335665,0.49953412532028885
256,3333,audio_start_30pct,0.5728021978021978,0.5622212949452657,0.6263973645169983,0.5861259620524365,0.29880037269974374
256,3333,audio_middle_30pct,0.5975274725274725,0.5818925817383017,0.6248723047652415,0.5946073261885887,0.29880037269974374
256,3333,audio_end_30pct,0.5851648351648352,0.5718522796018258,0.6335163391758125,0.5910321353846902,0.29891684136967156
256,3333,audio_middle_10pct,0.5769230769230769,0.5662172540144014,0.6319302856144342,0.5856990899570241,0.10161891451199627
256,3333,audio_middle_50pct,0.5892857142857143,0.5706366430504362,0.626724405132316,0.5976175235296377,0.4981365012811554
256,3333,vision_start_30pct,0.5810439560439561,0.5743126768257326,0.6339775218454363,0.5811869144555684,0.28400885161891454
256,3333,vision_middle_30pct,0.5769230769230769,0.5711643522400194,0.6318200572219851,0.5822912102923882,0.2833682739343117
256,3333,vision_end_30pct,0.5590659340659341,0.5531254496238129,0.6370031133007544,0.5730458644900662,0.28028185418122525
256,3333,vision_middle_10pct,0.5769230769230769,0.569231096232531,0.6340193726572689,0.5817328076398158,0.09637782436524575
256,3333,vision_middle_50pct,0.5714285714285714,0.5680460326423059,0.6342846084140487,0.5781961375521366,0.47198928488236663
256,3333,audio_vision_start_30pct,0.5728021978021978,0.5644770073873797,0.6253107850245394,0.5862682081420321,0.2914046121593291
256,3333,audio_vision_middle_30pct,0.5975274725274725,0.5846665892352902,0.6220374216458627,0.5962491618749538,0.2910843233170277
256,3333,audio_vision_end_30pct,0.5714285714285714,0.5642491645781119,0.6330167600618941,0.5845468886311508,0.2895993477754484
256,3333,audio_vision_middle_10pct,0.5865384615384616,0.5756882141007954,0.6313337092748382,0.585730318756113,0.09899836943862102
256,3333,audio_vision_middle_50pct,0.592032967032967,0.5753229452702903,0.6211425112048675,0.5979503563456813,0.485062893081761
